year,country,state,month,number,date
2004,Brazil,Alagoas,May,3,1/1/2004
2011,Brazil,Maranhao,May,73,1/1/2011
2000,Brazil,Piau,Jun,18,1/1/2000
2011,Brazil,Piau,Jul,864,1/1/2011
2006,Brazil,Tocantins,May,35,1/1/2006
1999,Brazil,Rio,Oct,40,1/1/1999
2006,Brazil,Rio,Aug,13,1/1/2006
2015,Brazil,Pernambuco,Jan,109,1/1/2015
2011,Brazil,Rio,Aug,10,1/1/2011
2001,Brazil,Paraiba,Aug,342,1/1/2001
2017,Brazil,Bahia,Mar,163,1/1/2017
2011,Brazil,Espirito Santo,Sep,108,1/1/2011
2001,Brazil,Ceara,Mar,0,1/1/2001
2006,Brazil,Mato Grosso,Feb,383,1/1/2006
2009,Brazil,Maranhao,Jun,279,1/1/2009
2017,Brazil,Paraiba,Nov,292,1/1/2017
2001,Brazil,Distrito Federal,Apr,0,1/1/2001
2005,Brazil,Santa Catarina,May,21,1/1/2005
2008,Brazil,Amapa,Mar,1,1/1/2008
2016,Brazil,Amapa,Aug,37,1/1/2016
2009,Brazil,Amazonas,Dez,102,1/1/2009
2003,Brazil,Paraiba,Jul,101,1/1/2003
2013,Brazil,Rondonia,Jan,7,1/1/2013
2003,Brazil,Mato Grosso,May,942,1/1/2003
2004,Brazil,Rio,Feb,8,1/1/2004
2016,Brazil,Sao Paulo,Aug,797,1/1/2016
2011,Brazil,Espirito Santo,Jul,18,1/1/2011
2014,Brazil,Pernambuco,Oct,174,1/1/2014
2012,Brazil,Minas Gerais,Jun,219,1/1/2012
2009,Brazil,Pernambuco,Apr,3,1/1/2009
2016,Brazil,Amazonas,Oct,2105,1/1/2016
2016,Brazil,Para,May,154,1/1/2016
2005,Brazil,Roraima,Aug,9,1/1/2005
2007,Brazil,Tocantins,Sep,6829,1/1/2007
2012,Brazil,Amapa,Sep,168,1/1/2012
2004,Brazil,Amapa,Dez,777,1/1/2004
2009,Brazil,Piau,Mar,17,1/1/2009
2017,Brazil,Tocantins,Nov,434,1/1/2017
2013,Brazil,Piau,Aug,1015,1/1/2013
2001,Brazil,Tocantins,Mar,0,1/1/2001
2011,Brazil,Rio,Feb,36,1/1/2011
2011,Brazil,Rio,Jan,15,1/1/2011
2016,Brazil,Paraiba,Sep,1371,1/1/2016
2009,Brazil,Santa Catarina,May,33,1/1/2009
2001,Brazil,Mato Grosso,Dez,37,1/1/2001
2013,Brazil,Pernambuco,Apr,11,1/1/2013
2007,Brazil,Para,Jan,467,1/1/2007
2003,Brazil,Minas Gerais,Jul,407,1/1/2003
2003,Brazil,Rio,Jul,7,1/1/2003
2009,Brazil,Paraiba,Jul,3,1/1/2009
2016,Brazil,Espirito Santo,Sep,128,1/1/2016
2013,Brazil,Bahia,Nov,288,1/1/2013
2013,Brazil,Distrito Federal,Aug,34,1/1/2013
2017,Brazil,Ceara,May,9,1/1/2017
2015,Brazil,Bahia,Aug,829,1/1/2015
2003,Brazil,Alagoas,Sep,8,1/1/2003
2010,Brazil,Rondonia,Jul,747,1/1/2010
2015,Brazil,Sergipe,Apr,35,1/1/2015
2013,Brazil,Mato Grosso,Oct,1986,1/1/2013
2003,Brazil,Para,Feb,34,1/1/2003
2006,Brazil,Mato Grosso,Jul,1941,1/1/2006
2000,Brazil,Ceara,Jan,1,1/1/2000
1999,Brazil,Paraiba,Oct,48,1/1/1999
2002,Brazil,Paraiba,Aug,1593,1/1/2002
2006,Brazil,Amapa,Mar,0,1/1/2006
2008,Brazil,Amapa,Aug,4,1/1/2008
2009,Brazil,Pernambuco,Aug,10,1/1/2009
2011,Brazil,Amazonas,Nov,399,1/1/2011
2002,Brazil,Pernambuco,Jun,1,1/1/2002
2016,Brazil,Espirito Santo,Apr,57,1/1/2016
2001,Brazil,Rio,Mar,11,1/1/2001
2013,Brazil,Sao Paulo,Oct,127,1/1/2013
2000,Brazil,Rondonia,Mar,9,1/1/2000
2007,Brazil,Goias,Nov,79,1/1/2007
2001,Brazil,Amazonas,Jul,9,1/1/2001
1999,Brazil,Rondonia,Apr,3,1/1/1999
2017,Brazil,Bahia,Jun,329,1/1/2017
2012,Brazil,Ceara,Jan,273,1/1/2012
2011,Brazil,Rio,Feb,26,1/1/2011
